description,Price,Rating,Review Count,URL
Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,$169.99,4.6 out of 5 stars,"25,505",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06247283D6GYPAZH2X3S&url=%2FInsignia-NS-32DF310NA19-32-inch-720p-Smart%2Fdp%2FB07FPP6TB5%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865421%26sr%3D8-1-spons%26psc%3D1&qualifier=1609865420&id=1804323626368930&widgetName=sp_atf
"All-New Toshiba 32LF221U21 32-inch Smart HD 720p TV - Fire TV Edition, Released 2020",$129.99,4.6 out of 5 stars,"9,240",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01953861115659ZDUFJQ&url=%2FAll-New-Toshiba-32LF221U21-32-inch-Smart%2Fdp%2FB0872FYTWS%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865421%26sr%3D8-2-spons%26psc%3D1&qualifier=1609865420&id=1804323626368930&widgetName=sp_atf
"SAMSUNG QN32Q50RAFXZA Flat 32"" QLED 4K 32Q50 Series Smart TV",$447.99,4.7 out of 5 stars,995,https://www.amazon.com/SAMSUNG-QN32Q50RAFXZA-32Q50-Smart-TV2019/dp/B07W5QYD2K/ref=sr_1_4?dchild=1&keywords=tv&qid=1609865421&sr=8-4
All-New Insignia NS-39DF310NA21 39-inch Smart HD 720p TV - Fire TV Edition,$169.99,4.6 out of 5 stars,"3,273",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08442093AKAYDKQ3JXD3&url=%2FAll-New-Insignia-NS-39DF310NA21-39-inch-Smart%2Fdp%2FB0875M44Y5%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865421%26sr%3D8-7-spons%26psc%3D1&qualifier=1609865420&id=1804323626368930&widgetName=sp_mtf
"All-New Insignia NS-50DF710NA21 50-inch Smart 4K UHD - Fire TV Edition, Released 2020",$299.99,4.6 out of 5 stars,"7,829",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02828062BRLO4WZ43W7O&url=%2FAll-New-Insignia-NS-50DF710NA21-50-inch-Smart%2Fdp%2FB086VRR9K9%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865421%26sr%3D8-12-spons%26psc%3D1&qualifier=1609865420&id=1804323626368930&widgetName=sp_mtf
"Skyworth E20300 40-Inch 1080P Full HD Smart TV, LED Android TV with Voice Remote",$224.99,4.1 out of 5 stars,682,https://www.amazon.com/SKYWORTH-Quad-CORE-Android-40E20300-Operating/dp/B07T3HYFB9/ref=sr_1_13?dchild=1&keywords=tv&qid=1609865421&sr=8-13
"Jensen JTV2815DC 28-Inch LED DC TV with White LED Illumination, Wide 16:9 LCD Panel, 1366 x 768 Pixels WXGA Resolution, and Integrated HDTV (ATSC) Tuner, Black",$382.41,4.4 out of 5 stars,12,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05776711D3GWW64QJL5U&url=%2FJensen-JTV2815DC-28-Inch-White-Illumination%2Fdp%2FB00T36FQZ6%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865421%26sr%3D8-17-spons%26psc%3D1%26smid%3DAFAGM2K2OIRAD&qualifier=1609865420&id=1804323626368930&widgetName=sp_mtf
"Hisense 40-Inch Class H4 Series LED Roku Smart TV with Alexa Compatibility (40H4F, 2020 Model)",$229.99,4.6 out of 5 stars,"3,858",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00190062Q4AE8FR43ODB&url=%2FHisense-40-Inch-Class-Compatibility-40H4F%2Fdp%2FB084B1T8KK%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865433%26sr%3D8-17-spons%26psc%3D1&qualifier=1609865433&id=8258551886119708&widgetName=sp_atf_next
"28” LED HDTV by Continu.us | CT-2860 High Definition Television 720p 60Hz Eco-Friendly TV, Lightweight and Slim Design, VGA/HDMI/USB Inputs, VESA Wall Mount Compatible.",$216.99,4.1 out of 5 stars,177,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01944431W4ERWEAO9TIC&url=%2FContinu-us-CT-2860-Eco-friendly-Lightweight-Compatible%2Fdp%2FB077J8R84V%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1609865433%26sr%3D8-18-spons%26psc%3D1&qualifier=1609865433&id=8258551886119708&widgetName=sp_atf_next
"LG 22LJ4540 TV, 22-Inch 1080p IPS LED - 2017 Model",$139.99,4.5 out of 5 stars,"3,370",https://www.amazon.com/LG-Electronics-22LJ4540-22-Inch-Class/dp/B01N5KGXUX/ref=sr_1_21?dchild=1&keywords=tv&qid=1609865433&sr=8-21
